Date,Time,Object,Confidence,X1,Y1,X2,Y2
2026-07-07,06:17:20,person,0.92,384,37,639,470
2026-07-07,06:17:21,person,0.92,385,36,639,470
2026-07-07,06:17:21,person,0.92,386,38,639,470
2026-07-07,06:17:21,person,0.93,386,37,639,470
2026-07-07,06:17:21,person,0.92,386,36,639,470
2026-07-07,06:17:21,person,0.92,385,35,639,469
2026-07-07,06:17:22,person,0.92,385,35,639,470
2026-07-07,06:17:22,person,0.91,386,34,639,473
2026-07-07,06:17:22,person,0.92,383,35,639,471
2026-07-07,06:17:22,person,0.92,382,33,639,471
2026-07-07,06:17:22,person,0.92,381,29,639,471
2026-07-07,06:17:23,person,0.92,384,29,639,471
2026-07-07,06:17:23,person,0.92,384,30,639,470
2026-07-07,06:17:23,person,0.91,383,27,639,472
2026-07-07,06:17:23,person,0.92,380,29,639,470
2026-07-07,06:17:23,person,0.92,379,30,639,471
2026-07-07,06:17:24,person,0.92,375,32,639,471
2026-07-07,06:17:24,person,0.93,360,26,639,470
2026-07-07,06:17:24,person,0.93,364,17,639,472
2026-07-07,06:17:24,person,0.92,349,2,638,470
2026-07-07,06:17:25,person,0.89,353,2,639,472
2026-07-07,06:17:25,person,0.9,353,3,639,473
2026-07-07,06:17:25,person,0.87,352,1,639,472
2026-07-07,06:17:25,person,0.68,347,3,638,470
2026-07-07,06:17:26,person,0.87,349,1,638,469
2026-07-07,06:17:26,person,0.75,352,2,639,472
2026-07-07,06:17:26,person,0.89,352,3,639,473
2026-07-07,06:17:26,person,0.82,347,2,638,470
2026-07-07,06:17:26,person,0.9,354,1,639,473
2026-07-07,06:17:27,person,0.76,353,0,638,472
2026-07-07,06:17:27,person,0.67,363,0,639,472
2026-07-07,06:17:27,person,0.79,363,0,639,473
2026-07-07,06:17:27,person,0.86,357,2,638,470
2026-07-07,06:17:28,person,0.9,359,2,639,472
2026-07-07,06:17:28,person,0.88,357,1,638,469
2026-07-07,06:17:28,person,0.9,359,0,639,473
2026-07-07,06:17:28,person,0.8,364,11,638,470
2026-07-07,06:17:28,person,0.73,389,16,639,472
2026-07-07,06:17:29,person,0.76,391,22,639,471
2026-07-07,06:17:29,person,0.9,388,27,639,473
2026-07-07,06:17:29,person,0.91,384,25,639,473
2026-07-07,06:17:29,person,0.9,385,18,639,473
2026-07-07,06:17:30,person,0.9,385,17,639,473
2026-07-07,06:17:30,person,0.89,386,16,638,473
2026-07-07,06:17:30,person,0.9,385,16,638,473
2026-07-07,06:17:30,person,0.91,383,17,639,472
2026-07-07,06:17:30,person,0.91,382,14,639,471
2026-07-07,06:17:31,person,0.85,385,15,639,475
2026-07-07,06:17:31,person,0.91,383,13,639,473
2026-07-07,06:17:31,person,0.92,382,15,639,475
2026-07-07,06:17:31,person,0.9,383,19,639,474
2026-07-07,06:17:32,person,0.92,376,16,639,472
